project_id,student_id,supervisor_id,title,category,status,year_published,dataset_available
1,1,2,Impact of Clinical Hematology Protocols on Pediatric Outcomes,Clinical Hematology,Ongoing,2024,No
2,2,54,Correlation between Transfusion Medicine and Laboratory in Pediatric,Transfusion Medicine,Completed,2021,Yes
3,3,90,Impact of Stem Cell Research Protocols on Laboratory Outcomes,Stem Cell Research,Ongoing,2022,No
4,4,91,Genetic Factors Influencing Laboratory Hematology in Hospital,Laboratory Hematology,Ongoing,2024,No
5,5,53,Advances in Clinical Hematology for Adult Management,Clinical Hematology,Ongoing,2022,No
6,6,67,Clinical Outcomes of Immunohematology in Adult,Immunohematology,Completed,2022,No
7,7,18,Advances in Blood Disorders for Laboratory Management,Blood Disorders,Completed,2024,No
8,8,23,Evaluation of Laboratory Hematology Techniques in Experimental,Laboratory Hematology,Completed,2023,Yes
9,9,70,Impact of Stem Cell Research Protocols on Adult Outcomes,Stem Cell Research,Completed,2021,Yes
10,10,100,Impact of Sickle Cell Disease Protocols on Hospital Outcomes,Sickle Cell Disease,Ongoing,2023,No
11,11,26,Clinical Outcomes of Transfusion Medicine in Hospital,Transfusion Medicine,Ongoing,2022,Yes
12,12,79,Advances in Clinical Hematology for Community Management,Clinical Hematology,Ongoing,2021,Yes
13,13,100,Advances in Sickle Cell Disease for Community Management,Sickle Cell Disease,Completed,2024,Yes
14,14,27,Genetic Factors Influencing Clinical Hematology in Hospital,Clinical Hematology,Ongoing,2022,Yes
15,15,14,Correlation between Sickle Cell Disease and Hospital in Laboratory,Sickle Cell Disease,Completed,2024,Yes
16,16,50,Molecular Mechanisms of Immunohematology in Adult Patients,Immunohematology,Ongoing,2021,No
17,17,52,Correlation between Hematologic Malignancies and Hospital in Community,Hematologic Malignancies,Ongoing,2021,Yes
18,18,62,Clinical Outcomes of Stem Cell Research in Experimental,Stem Cell Research,Ongoing,2023,Yes
19,19,98,Impact of Hematologic Malignancies Protocols on Laboratory Outcomes,Hematologic Malignancies,Ongoing,2023,No
20,20,27,Evaluation of Blood Disorders Techniques in Experimental,Blood Disorders,Completed,2022,Yes
21,21,55,Clinical Outcomes of Sickle Cell Disease in Pediatric,Sickle Cell Disease,Ongoing,2022,Yes
22,22,46,Clinical Outcomes of Immunohematology in Hospital,Immunohematology,Ongoing,2022,Yes
23,23,3,Correlation between Immunohematology and Laboratory in Laboratory,Immunohematology,Completed,2024,Yes
24,24,96,Epidemiology of Clinical Hematology in Community Populations,Clinical Hematology,Ongoing,2021,No
25,25,27,Evaluation of Blood Disorders Techniques in Adult,Blood Disorders,Completed,2022,Yes
26,26,83,Impact of Transfusion Medicine Protocols on Adult Outcomes,Transfusion Medicine,Ongoing,2023,Yes
27,27,55,Genetic Factors Influencing Transfusion Medicine in Community,Transfusion Medicine,Ongoing,2024,Yes
28,28,78,Impact of Stem Cell Research Protocols on Experimental Outcomes,Stem Cell Research,Ongoing,2023,Yes
29,29,20,Evaluation of Immunohematology Techniques in Adult,Immunohematology,Ongoing,2022,Yes
30,30,13,Impact of Hematologic Malignancies Protocols on Experimental Outcomes,Hematologic Malignancies,Ongoing,2022,Yes
31,31,100,Correlation between Stem Cell Research and Hospital in Laboratory,Stem Cell Research,Completed,2022,Yes
32,32,39,Epidemiology of Stem Cell Research in Laboratory Populations,Stem Cell Research,Completed,2023,No
33,33,63,Evaluation of Sickle Cell Disease Techniques in Experimental,Sickle Cell Disease,Ongoing,2024,No
34,34,72,Genetic Factors Influencing Blood Disorders in Adult,Blood Disorders,Completed,2022,No
35,35,20,Genetic Factors Influencing Immunohematology in Hospital,Immunohematology,Ongoing,2022,Yes
36,36,52,Impact of Clinical Hematology Protocols on Laboratory Outcomes,Clinical Hematology,Completed,2021,No
37,37,80,Correlation between Hematologic Malignancies and Pediatric in Adult,Hematologic Malignancies,Completed,2023,Yes
38,38,81,Correlation between Transfusion Medicine and Experimental in Hospital,Transfusion Medicine,Completed,2021,No
39,39,74,Genetic Factors Influencing Sickle Cell Disease in Hospital,Sickle Cell Disease,Completed,2021,No
40,40,63,Genetic Factors Influencing Sickle Cell Disease in Pediatric,Sickle Cell Disease,Ongoing,2022,Yes
41,41,5,Genetic Factors Influencing Hematologic Malignancies in Laboratory,Hematologic Malignancies,Ongoing,2024,Yes
42,42,64,Epidemiology of Clinical Hematology in Adult Populations,Clinical Hematology,Completed,2023,No
43,43,43,Genetic Factors Influencing Stem Cell Research in Experimental,Stem Cell Research,Ongoing,2023,No
44,44,31,Impact of Clinical Hematology Protocols on Experimental Outcomes,Clinical Hematology,Completed,2022,No
45,45,61,Correlation between Clinical Hematology and Laboratory in Experimental,Clinical Hematology,Completed,2022,No
46,46,28,Correlation between Clinical Hematology and Experimental in Laboratory,Clinical Hematology,Ongoing,2023,No
47,47,94,Clinical Outcomes of Laboratory Hematology in Pediatric,Laboratory Hematology,Ongoing,2022,No
48,48,83,Genetic Factors Influencing Immunohematology in Adult,Immunohematology,Completed,2021,Yes
49,49,11,Molecular Mechanisms of Hematologic Malignancies in Experimental Patients,Hematologic Malignancies,Ongoing,2024,Yes
50,50,30,Correlation between Laboratory Hematology and Pediatric in Laboratory,Laboratory Hematology,Ongoing,2023,Yes
51,51,42,Molecular Mechanisms of Sickle Cell Disease in Community Patients,Sickle Cell Disease,Ongoing,2022,No
52,52,73,Epidemiology of Transfusion Medicine in Pediatric Populations,Transfusion Medicine,Completed,2021,No
53,53,6,Correlation between Laboratory Hematology and Pediatric in Hospital,Laboratory Hematology,Completed,2021,Yes
54,54,32,Impact of Transfusion Medicine Protocols on Community Outcomes,Transfusion Medicine,Completed,2022,No
55,55,26,Epidemiology of Stem Cell Research in Pediatric Populations,Stem Cell Research,Completed,2021,No
56,56,27,Molecular Mechanisms of Stem Cell Research in Community Patients,Stem Cell Research,Ongoing,2024,No
57,57,48,Impact of Immunohematology Protocols on Laboratory Outcomes,Immunohematology,Ongoing,2022,Yes
58,58,63,Impact of Transfusion Medicine Protocols on Experimental Outcomes,Transfusion Medicine,Ongoing,2024,No
59,59,61,Advances in Hematologic Malignancies for Adult Management,Hematologic Malignancies,Completed,2021,Yes
60,60,54,Epidemiology of Sickle Cell Disease in Community Populations,Sickle Cell Disease,Completed,2022,No
61,61,82,Molecular Mechanisms of Stem Cell Research in Adult Patients,Stem Cell Research,Ongoing,2021,No
62,62,81,Molecular Mechanisms of Laboratory Hematology in Community Patients,Laboratory Hematology,Ongoing,2024,No
63,63,72,Evaluation of Laboratory Hematology Techniques in Community,Laboratory Hematology,Completed,2024,Yes
64,64,72,Molecular Mechanisms of Immunohematology in Pediatric Patients,Immunohematology,Ongoing,2021,No
65,65,74,Molecular Mechanisms of Sickle Cell Disease in Experimental Patients,Sickle Cell Disease,Ongoing,2021,Yes
66,66,12,Epidemiology of Clinical Hematology in Experimental Populations,Clinical Hematology,Completed,2022,Yes
67,67,55,Epidemiology of Hematologic Malignancies in Community Populations,Hematologic Malignancies,Ongoing,2022,No
68,68,66,Advances in Clinical Hematology for Pediatric Management,Clinical Hematology,Completed,2023,No
69,69,9,Clinical Outcomes of Sickle Cell Disease in Experimental,Sickle Cell Disease,Ongoing,2021,No
70,70,37,Clinical Outcomes of Stem Cell Research in Adult,Stem Cell Research,Completed,2024,Yes
71,71,2,Impact of Stem Cell Research Protocols on Pediatric Outcomes,Stem Cell Research,Ongoing,2021,No
72,72,80,Advances in Transfusion Medicine for Community Management,Transfusion Medicine,Completed,2022,No
73,73,49,Molecular Mechanisms of Stem Cell Research in Hospital Patients,Stem Cell Research,Completed,2022,No
74,74,46,Evaluation of Transfusion Medicine Techniques in Pediatric,Transfusion Medicine,Ongoing,2023,Yes
75,75,3,Clinical Outcomes of Hematologic Malignancies in Community,Hematologic Malignancies,Ongoing,2022,Yes
76,76,46,Evaluation of Sickle Cell Disease Techniques in Hospital,Sickle Cell Disease,Completed,2021,No
77,77,69,Impact of Clinical Hematology Protocols on Hospital Outcomes,Clinical Hematology,Ongoing,2024,Yes
78,78,34,Impact of Hematologic Malignancies Protocols on Community Outcomes,Hematologic Malignancies,Completed,2022,Yes
79,79,11,Advances in Laboratory Hematology for Pediatric Management,Laboratory Hematology,Completed,2021,Yes
80,80,56,Genetic Factors Influencing Laboratory Hematology in Experimental,Laboratory Hematology,Ongoing,2023,Yes
81,81,60,Clinical Outcomes of Hematologic Malignancies in Experimental,Hematologic Malignancies,Completed,2024,Yes
82,82,76,Molecular Mechanisms of Hematologic Malignancies in Laboratory Patients,Hematologic Malignancies,Ongoing,2021,No
83,83,11,Evaluation of Immunohematology Techniques in Pediatric,Immunohematology,Ongoing,2022,No
84,84,71,Impact of Clinical Hematology Protocols on Adult Outcomes,Clinical Hematology,Ongoing,2022,Yes
85,85,93,Advances in Stem Cell Research for Hospital Management,Stem Cell Research,Ongoing,2024,No
86,86,88,Epidemiology of Sickle Cell Disease in Pediatric Populations,Sickle Cell Disease,Completed,2021,No
87,87,14,Evaluation of Stem Cell Research Techniques in Community,Stem Cell Research,Ongoing,2023,No
88,88,94,Genetic Factors Influencing Clinical Hematology in Pediatric,Clinical Hematology,Completed,2023,Yes
89,89,92,Clinical Outcomes of Laboratory Hematology in Experimental,Laboratory Hematology,Completed,2022,No
90,90,27,Correlation between Stem Cell Research and Hospital in Experimental,Stem Cell Research,Completed,2022,No
91,91,18,Impact of Laboratory Hematology Protocols on Adult Outcomes,Laboratory Hematology,Completed,2021,Yes
92,92,73,Clinical Outcomes of Clinical Hematology in Experimental,Clinical Hematology,Ongoing,2021,No
93,93,92,Epidemiology of Blood Disorders in Laboratory Populations,Blood Disorders,Ongoing,2024,Yes
94,94,67,Epidemiology of Hematologic Malignancies in Experimental Populations,Hematologic Malignancies,Completed,2023,No
95,95,39,Epidemiology of Stem Cell Research in Community Populations,Stem Cell Research,Completed,2023,No
96,96,57,Molecular Mechanisms of Blood Disorders in Pediatric Patients,Blood Disorders,Ongoing,2024,Yes
97,97,100,Advances in Transfusion Medicine for Experimental Management,Transfusion Medicine,Completed,2023,No
98,98,34,Genetic Factors Influencing Clinical Hematology in Community,Clinical Hematology,Ongoing,2023,No
99,99,64,Clinical Outcomes of Transfusion Medicine in Adult,Transfusion Medicine,Completed,2022,Yes
100,100,54,Impact of Clinical Hematology Protocols on Community Outcomes,Clinical Hematology,Completed,2024,No
101,101,84,Epidemiology of Sickle Cell Disease in Hospital Populations,Sickle Cell Disease,Ongoing,2022,No
102,102,1,Impact of Immunohematology Protocols on Community Outcomes,Immunohematology,Ongoing,2021,Yes
103,103,22,Molecular Mechanisms of Immunohematology in Community Patients,Immunohematology,Completed,2023,No
104,104,71,Epidemiology of Laboratory Hematology in Laboratory Populations,Laboratory Hematology,Completed,2022,No
105,105,55,Impact of Immunohematology Protocols on Experimental Outcomes,Immunohematology,Completed,2021,Yes
106,106,66,Genetic Factors Influencing Hematologic Malignancies in Community,Hematologic Malignancies,Completed,2022,Yes
107,107,20,Genetic Factors Influencing Immunohematology in Experimental,Immunohematology,Completed,2022,No
108,108,80,Advances in Laboratory Hematology for Laboratory Management,Laboratory Hematology,Ongoing,2022,Yes
109,109,89,Advances in Stem Cell Research for Pediatric Management,Stem Cell Research,Ongoing,2024,Yes
110,110,16,Epidemiology of Transfusion Medicine in Adult Populations,Transfusion Medicine,Ongoing,2023,No
111,111,35,Advances in Immunohematology for Experimental Management,Immunohematology,Completed,2023,No
112,112,92,Impact of Hematologic Malignancies Protocols on Pediatric Outcomes,Hematologic Malignancies,Completed,2022,No
113,113,37,Clinical Outcomes of Transfusion Medicine in Experimental,Transfusion Medicine,Completed,2021,Yes
